Name,NS,EW
2840,20,10
2841,1,11
2842,2,11
2843,3,11
2844,4,11
2845,5,11
2846,6,11
2847,7,11
2848,8,11
2849,9,11
2850,10,11
2851,11,11
2852,12,11
2853,13,11
2854,14,11
2855,15,11
2856,16,11
2857,17,11
2858,18,11
2859,19,11
2860,20,11
2861,1,12
2862,2,12
2863,3,12
2864,4,12
2865,5,12
2866,6,12
2867,7,12
2868,8,12
2869,9,12
2870,10,12
2871,11,12
2872,12,12
2873,13,12
2874,14,12
2875,15,12
2876,16,12
2877,17,12
2878,18,12
2879,19,12
2880,20,12
2881,1,13
2882,2,13
2883,3,13
2884,4,13
2885,5,13
2886,6,13
2887,7,13
2888,8,13
2889,9,13
2890,10,13
2891,11,13
2892,12,13
2893,13,13
2894,14,13
2895,15,13
2896,16,13
2897,17,13
2898,18,13
2899,19,13
2900,20,13
2901,1,14
2902,2,14
2903,3,14
2904,4,14
2905,5,14
2906,6,14
2907,7,14
2908,8,14
2909,9,14
2910,10,14
2911,11,14
2912,12,14
2913,13,14
2914,14,14
2915,15,14
2916,16,14
2917,17,14
2918,18,14
2919,19,14
2920,20,14
2921,1,15
2922,2,15
2923,3,15
2924,4,15
2925,5,15
2926,6,15
2927,7,15
2928,8,15
2929,9,15
2930,10,15
2931,11,15
2932,12,15
2933,13,15
2934,14,15
2935,15,15
2936,16,15
2937,17,15
2938,18,15
2939,19,15
2940,20,15
2941,1,16
2942,2,16
2943,3,16
2944,4,16
2945,5,16
2946,6,16
2947,7,16
2948,8,16
2949,9,16
2950,10,16
2951,11,16
2952,12,16
2953,13,16
2954,14,16
2955,15,16
2956,16,16
2957,17,16
2958,18,16
2959,19,16
2960,20,16
2961,1,17
2962,2,17
2963,3,17
2964,4,17
2965,5,17
2966,6,17
2967,7,17
2968,8,17
2969,9,17
2970,10,17
2971,11,17
2972,12,17
2973,13,17
2974,14,17
2975,15,17
2976,16,17
2977,17,17
2978,18,17
2979,19,17
2980,20,17
2981,1,18
2982,2,18
2983,3,18
2984,4,18
2985,5,18
2986,6,18
2987,7,18
2988,8,18
2989,9,18
2990,10,18
2991,11,18
2992,12,18
2993,13,18
2994,14,18
2995,15,18
2996,16,18
2997,17,18
2998,18,18
2999,19,18
3000,20,18
3001,1,19
3002,2,19
3003,3,19
3004,4,19
3005,5,19
3006,6,19
3007,7,19
3008,8,19
3009,9,19
3010,10,19
3011,11,19
3012,12,19
3013,13,19
3014,14,19
3015,15,19
3016,16,19
3017,17,19
3018,18,19
3019,19,19
3020,20,19
3021,1,20
3022,2,20
3023,3,20
3024,4,20
3025,5,20
3026,6,20
3027,7,20
3028,8,20
3029,9,20
3030,10,20
3031,11,20
3032,12,20
3033,13,20
3034,14,20
3035,15,20
