"Barcode","Area","AreaPerDay","InitialSize","MeanVariance","Round","Replicate","Clover","Rhizobium","NS","EW","n.stolons","weight","growth_per_day","EndSize","HasChangedColor","Measurements","HueRate","StartHue","TimeToGreen"
"127","1927",1197043,64691.7027027027,34152.1,2900.19471156092,1,2,"Clfin_0751","SM163A",34,7,4,24.81,0.590714285714286,204215,FALSE,38,0.000214800647954139,75.1181516967513,24
"128","1928",724663.95,54971.9771428572,24700.2,2393.3200106653,1,1,"Llanc_0538","SM144A",33,7,4,33.05,0.635576923076923,209340,TRUE,44,1.11388756871487,66.6576545147583,9
"129","1929",362032.25,37080.8142857143,14038.7,2266.13285440082,1,1,"Aearl_0749","SM8",32,7,4,22.63,0.435192307692308,198475,TRUE,43,0.720196155445133,67.0208388899944,9
"130","1930",638113.6,48726.51,19606.1,3040.46408390119,1,1,"Ilona_0314","SM42",31,7,4,22.08,0.424615384615385,191200,TRUE,45,0.557439682505792,67.72707816715,10
"131","1931",605854.55,47240.3942857143,36730.7,3163.8497417087,1,1,"Sster_0313","SM42",30,7,4,29.61,0.569423076923077,208463.5,TRUE,45,0.117896352699758,69.4433477443633,14
"132","1932",707968.15,49803.1797297297,24790.6,2791.26823322705,1,2,"Aoost_0751","SM86",29,7,4,24.23,0.550681818181818,204045,TRUE,40,0.246085835544686,63.2626618420543,20
"133","1933",197752.55,15506.4942857143,25364.9,2747.61408966522,1,1,"Llanc_0639","SM42",28,7,4,14.89,0.286346153846154,95828,TRUE,42,0.186534022774661,68.8115780153633,11
"134","1934",147278.6,5464.6918918919,12443.2,1853.99099450152,1,2,"Mrida_0953","SM156",27,7,4,3.98,0.0947619047619048,11771,FALSE,38,-0.078676407461268,61.362997280725,19
"135","1935",122925,12045.027027027,20237.5,3492.74931894076,1,2,"Aoost_0543","SM59",26,7,4,9.13,0.202888888888889,107930,TRUE,41,0.114534328864945,63.4793096037947,21
"136","1936",333465.45,23771.9175675676,10847.1,2044.97003837945,1,2,"Aalon_0923","SM74",25,7,4,10.28,0.233636363636364,110112,TRUE,40,0.204206862506154,62.8490118313314,21
"137","1937",726779,38536.2972972973,13359,2872.8568609827,1,2,"Kdike_0413","SM114",24,7,4,18.53,0.421136363636364,124703,TRUE,40,0.627160448025013,61.9556390862829,1
"138","1938",51141.3,2532.98918918919,7543.9,1183.46386837854,1,2,"Llanc_0639","SM129",23,7,4,2.57,0.0611904761904762,22472,TRUE,38,0.0338350861992735,60.1074857012139,1
"139","1939",626743.9,46743.1685714286,25664.7,2932.77744586316,1,1,"Aoost_0430","SM59",22,7,4,33.92,0.652307692307692,171761,TRUE,43,1.01417283626129,65.2002126458115,9
"140","1940",189427.55,14454.3371428571,26476.9,2767.7535355198,1,1,"Aaran_1061","SM15",21,7,4,13.43,0.258269230769231,111427,TRUE,45,0.276949567647119,64.0030361127115,12
"141","1941",451465.75,38920.9375,14662,2741.16759702564,1,2,"Aearl_0749","SM8",40,8,4,10.34,0.229777777777778,186635,TRUE,40,-0.20036669509904,70.8909895596564,9
"142","1942",321385.5,24247.3714285714,26264.5,3308.04669201942,1,1,"Ancor_0317","SM141A",39,8,4,28.74,0.552692307692308,129293,TRUE,44,0.599010340316192,65.345994332027,10
"143","1943",421261.85,32697.9544117647,21641.1,3390.15782402113,1,1,"Ancor_1057","SM6",38,8,4,24.58,0.472692307692308,157568,TRUE,44,0.983021014634579,64.880092243527,9
